article_id,title,region,written_date,manner_temperature,price,content,chat_count
473432609,MacBook Pro 13-inch(맥북프로13인치)_Model No. A1708 판매합니다!!!,부천시 중동,끌올11시간전,37.0°C,"900,000원","MacBook Pro 13-inch(맥북프로13인치)_Model No. A1708 팝니다!
Model No. A1708
Silver/2.3GHz/8GB/256GB 
구매햇을당시 박스+구성품 있습니다!
2018년 12월에 구매하였습니다! 
대학교 막학년떄 샀는데..졸업후 노트북자체를 쓸일이 없어서..
진짜 토탈 부팅횟수...100번..?도 안될겁니다.
그나마 켯을땐 인터네서핑, 아이폰미러링, 넷플감상, 서류작성(?) 외에...뭐 한게 없습니다
단축키 키보드 커버 씌워놓고 썼고
노트북파우치 탐탁제품으로 써서 
상태 매우괜찮습니다..!!!
직거래시 상동 부천시청 신중동 부천역 까지 가능합니다~ 
네고가능하며 연락주세욤!!",관심0|채팅0|조회67
472002218,애플 맥북프로 Macbook Pro(마지막),의왕시 포일동,끌올13시간전,40.2°C,"800,000원","미국 캘리포니아 거주할때 애플스토어 방문 구매했어요. 
학생할인해서 2천불대에 구매했고 
한국 들어오게 되면서 
한번도 안쓰고 보관만 하게 되어서
판매합니다 ㅠ 
졸업하기 직전에 쓰던게 고장나서 급하게 구매한거라
실제로 쓴건 6개월도 안되고…
Macbook Pro 2017년도형이라지만 (구매는 2019년)
상태는 새거 그 자체입니다🥹 스크레치도 없어요
보내기 아깝지만 결혼하고 쓸일이 없어서 보내요ㅜㅜ
연식이 있다고 느끼지 못하실정도로  상태가 새거에요. 
사진에 있는 구성품 그대로이구요(노트북&충전기) 
케이스 두개 있는거 다 그냥 드릴게요~
소프트웨어는 업데이트 다했고 거래 되면 초기화 해드립니당
더 자세한 사진은 채팅 보내주시면 보내드릴게요. 
🙏정말 사실 분들만 메세지 보내주세요🙏
❌❌❌❌택배❌❌❌❌
물건이 물건인만큼 직거래만 가능합니당 
🔥펑방지금 10만원 받습니다🔥 
의왕시 포일동으로 오시면 2만원 할인해드려용!
🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃
컨디션 좋은것만 판매합니다.
팔기 애매한것들은 올리지도 않습니다!
콩이네서 예쁘고 착한 가격에 구매하세요😊
현금 결제 ❌  계좌이체만 가능✅
🌸개인거래상 교환/환불 불가능합니당🌸
*****직거래*****
의왕시 (매일 가능) 
신세계 강남점/사당 (주말만 가능)",관심9|채팅0|조회311
420032176,,,,,,,
463378856,M2 맥북 프로 13인치 고급형 램 16GB 미개봉 Macbook Pro 2022,양천구 목5동,끌올24시간전,41.9°C,158만원,"애플 맥북 프로 M2 실버 색상 미개봉이에요.
사양은 램 16GB SSD 256GB이에요.",관심8|채팅0|조회259
474541691,MacBook Pro 맥북프로 16인치 19년형,수원시 팔달구 화서1동,21시간전,38.7°C,200만원,"MacBook Pro 맥북프로 16인치 19년형
8코어 i9 16GB 1TB
음악작업용으로 쓰려고 구매했었고 2020년 중순쯤 샀으니 2년정도 됐습니다.
아이맥으로 바꾸게돼서 사용할 일이 적을 것 같아 판매하며 현재 배터리 사이클수 102, 풀박스로 구성품 다 있습니다.
궁금한 점은 편하게 문의주세요!",관심3|채팅0|조회31
435012938,85W MagSafe 2 맥북 충전기 MacBook charger,송파구 방이2동,끌올1일전,38.0°C,"80,000원",미개봉,관심1|채팅1|조회147
472790082,맥북프로 MacBook Pro 2019년 15인치 /512GB / 16GB(RAM),부산진구 부전제1동,끌올23시간전,40.3°C,220만원,"맥북프로 MacBook Pro 2019년 15인치 /512GB / 16GB(RAM)
약 320만원으로 산 맥북 판매합니다
데스크탑 사양 높게 맞춰버려서 보관만 한 수준의 새 제품 내놓습니다 (밖에들고나간적없음)
사이클 수 33번이면 정말..사용안한 수준이나 다름없어요
고가의 제품이기도하고 워낙 조심히 다루는 성격이라 최상급의 상태로 보관하였으며, 멀티허브 8만원주고 따로샀으나 포함한 가격으로 올립니다 (맥북 박스없음)
사양 및 구매내역 첨부하여 올립니다 혹시 궁금한 사항있으면 언제든 편하게 당근톡 주세요! 
거래는 냉정역에서 가능합니다",관심0|채팅0|조회70
474339126,맥북프로 macbook pro m1 13인치,안동시 운안동,1일전,37.7°C,110만원,"상태 최상입니다 배터리 성능 97프로
엄청 아낀거라 찍힘 하나도 없고 기스도 없습니다
박스 있습니다 쿨거래 에눌 해드려요",관심3|채팅0|조회38
460296071,Macbook Air 13 2020 A2179 8GB RAM 512GB SSD 맥북 에어 13형 2020 A2179,시흥시 정왕동,끌올1일전,36.5°C,"900,000원","구매 날짜 2021년 06월 27 일, 
개인적인 사용함, 
구성품 포함 ( 아답터 정상 작동), 
제조년월 2020-4 , 
Apple A2179, 엔진, 오디오, 화면, 트랙패드 , 키보드 정상작동",관심1|채팅2|조회294
471351101,Apple 맥북 에어(MacBook air) 2020 (A2179),송파구 가락2동,끌올1일전,39.9°C,"780,000원","스페이스 그레이13.3인치
• CPU 인텔 i5
• 512GB 
• 8기가 램
거의 사용하지 않아 상태 매우 좋습니다!",관심6|채팅0|조회120
